"county","tract","bg","cntyname","LandSQMI","afact"
"County code","Tract","Block group","County name","Land area (sq. mi.)","_us_ to bg allocation factor"
"53005","0109.01","6","Benton WA",0.2433,0 
"53005","0109.02","1","Benton WA",0.4426,0 
"53005","0109.02","2","Benton WA",0.3101,0 
"53005","0109.02","3","Benton WA",0.2371,0 
"53005","0110.01","1","Benton WA",0.4894,0 
"53005","0110.01","2","Benton WA",0.2806,0 
"53005","0110.01","3","Benton WA",0.3845,0 
"53005","0110.01","4","Benton WA",0.1248,0 
"53005","0110.01","5","Benton WA",0.1468,0 
"53005","0110.01","6","Benton WA",0.2492,0 
"53005","0110.02","1","Benton WA",0.2129,0 
"53005","0110.02","2","Benton WA",0.2206,0 
"53005","0110.02","3","Benton WA",0.3496,0 
"53005","0110.02","4","Benton WA",0.361,0 
"53005","0111.00","1","Benton WA",0.4538,0 
"53005","0111.00","2","Benton WA",0.2523,0 
"53005","0111.00","3","Benton WA",0.5386,0 
"53005","0111.00","4","Benton WA",0.1249,0 
"53005","0111.00","5","Benton WA",0.2527,0 
"53005","0111.00","6","Benton WA",0.3727,0 
"53005","0112.00","1","Benton WA",0.2008,0 
"53005","0112.00","2","Benton WA",0.1254,0 
"53005","0112.00","3","Benton WA",0.1253,0 
"53005","0112.00","4","Benton WA",0.1151,0 
"53005","0112.00","5","Benton WA",0.1435,0 
"53005","0112.00","6","Benton WA",0.2615,0 
"53005","0113.00","1","Benton WA",0.7794,0 
"53005","0113.00","2","Benton WA",0.3794,0 
"53005","0113.00","3","Benton WA",0.2373,0 
"53005","0113.00","4","Benton WA",0.6311,0 
"53005","0114.01","1","Benton WA",0.2499,0 
"53005","0114.01","2","Benton WA",0.2503,0 
"53005","0114.01","3","Benton WA",0.3861,0 
"53005","0114.02","1","Benton WA",0.2496,0 
"53005","0114.02","2","Benton WA",0.2459,0 
"53005","0114.02","3","Benton WA",0.548,0 
"53005","0114.02","4","Benton WA",0.6165,0 
"53005","0114.02","5","Benton WA",1.1636,0 
