GEOID,LandSQMI,NAME,estimate_B01001_001,moe_B01001_001,people_per_sqmi
530090019001,6.7048,"Block Group 1, Census Tract 19, Clallam County, Washington",1036,218,154.51616752177546
530090019002,1.8632,"Block Group 2, Census Tract 19, Clallam County, Washington",785,204,421.3181623014169
530090019003,4.7979,"Block Group 3, Census Tract 19, Clallam County, Washington",2240,359,466.8709226953458
530090019004,1.034,"Block Group 4, Census Tract 19, Clallam County, Washington",1944,316,1880.0773694390716
530090020001,5.6631,"Block Group 1, Census Tract 20, Clallam County, Washington",3513,357,620.3316204905441
530090020002,2.3403,"Block Group 2, Census Tract 20, Clallam County, Washington",2264,383,967.3973422210828
530090021001,0.7433,"Block Group 1, Census Tract 21, Clallam County, Washington",2168,302,2916.7227229920627
530090021002,0.7133,"Block Group 2, Census Tract 21, Clallam County, Washington",1573,284,2205.243235665218
530090023001,97.4687,"Block Group 1, Census Tract 23, Clallam County, Washington",1462,305,14.999687079031526
530090023002,12.7891,"Block Group 2, Census Tract 23, Clallam County, Washington",1741,278,136.13154952264037
530090023003,1.6405,"Block Group 3, Census Tract 23, Clallam County, Washington",1199,355,730.8747333130143
530099400001,1.079,"Block Group 1, Census Tract 9400, Clallam County, Washington",1009,155,935.1251158480075
530099400002,41.528,"Block Group 2, Census Tract 9400, Clallam County, Washington",551,114,13.268156424581006
530110401011,34.4367,"Block Group 1, Census Tract 401.01, Clark County, Washington",2165,566,62.86897408869026
530110401012,89.5333,"Block Group 2, Census Tract 401.01, Clark County, Washington",1790,422,19.99256142686576
530110401013,4.9977,"Block Group 3, Census Tract 401.01, Clark County, Washington",1328,263,265.72223222682436
530110401021,7.0669,"Block Group 1, Census Tract 401.02, Clark County, Washington",1321,401,186.92779012013753
530110401022,13.702,"Block Group 2, Census Tract 401.02, Clark County, Washington",2269,449,165.59626331922348
530110402011,10.8243,"Block Group 1, Census Tract 402.01, Clark County, Washington",1402,322,129.52338719362916
530110402012,6.1811,"Block Group 2, Census Tract 402.01, Clark County, Washington",1713,468,277.13513775865135
530110402013,1.7763,"Block Group 3, Census Tract 402.01, Clark County, Washington",1012,159,569.7235827281428
530110402014,4.3082,"Block Group 4, Census Tract 402.01, Clark County, Washington",2315,341,537.3473840583074
530110402021,14.9531,"Block Group 1, Census Tract 402.02, Clark County, Washington",1826,313,122.11514669199029
530110402022,12.0382,"Block Group 2, Census Tract 402.02, Clark County, Washington",2002,304,166.30393248160024
530110402031,9.1186,"Block Group 1, Census Tract 402.03, Clark County, Washington",2372,394,260.1276511745224
530110402032,4.74,"Block Group 2, Census Tract 402.03, Clark County, Washington",1225,246,258.4388185654008
530110402033,9.7994,"Block Group 3, Census Tract 402.03, Clark County, Washington",2185,382,222.97283507153497
530110403011,5.9368,"Block Group 1, Census Tract 403.01, Clark County, Washington",1189,245,200.27624309392266
530110403012,5.0041,"Block Group 2, Census Tract 403.01, Clark County, Washington",859,212,171.65923942367257
530110403021,7.9154,"Block Group 1, Census Tract 403.02, Clark County, Washington",2748,519,347.1713368875862
530110403022,8.7177,"Block Group 2, Census Tract 403.02, Clark County, Washington",5713,601,655.3334021588263
530110403023,5.981,"Block Group 3, Census Tract 403.02, Clark County, Washington",504,183,84.26684500919579
530110404031,10.5391,"Block Group 1, Census Tract 404.03, Clark County, Washington",2605,384,247.1748061978727
530110404032,5.9598,"Block Group 2, Census Tract 404.03, Clark County, Washington",1599,346,268.29759387898923
530110404071,0.4912,"Block Group 1, Census Tract 404.07, Clark County, Washington",2289,335,4660.016286644951
530110404072,0.1972,"Block Group 2, Census Tract 404.07, Clark County, Washington",1288,334,6531.440162271806
530110404073,1.5263,"Block Group 3, Census Tract 404.07, Clark County, Washington",2708,340,1774.2252506060408
530110404081,5.5707,"Block Group 1, Census Tract 404.08, Clark County, Washington",2900,313,520.5808964762058
530110404082,2.2742,"Block Group 2, Census Tract 404.08, Clark County, Washington",991,262,435.75762905637146
530110404091,1.3562,"Block Group 1, Census Tract 404.09, Clark County, Washington",1566,184,1154.6969473528977
530110404092,1.841,"Block Group 2, Census Tract 404.09, Clark County, Washington",676,122,367.1917436175991
530110404111,0.2803,"Block Group 1, Census Tract 404.11, Clark County, Washington",1828,200,6521.58401712451
530110404112,0.511,"Block Group 2, Census Tract 404.11, Clark County, Washington",730,137,1428.5714285714284
530110404121,0.9658,"Block Group 1, Census Tract 404.12, Clark County, Washington",2217,342,2295.506316007455
530110404122,0.5535,"Block Group 2, Census Tract 404.12, Clark County, Washington",2826,347,5105.691056910569
530110404131,2.0169,"Block Group 1, Census Tract 404.13, Clark County, Washington",1775,270,880.063463731469
530110404132,0.5166,"Block Group 2, Census Tract 404.13, Clark County, Washington",1376,294,2663.5694928377857
530110404141,3.2484,"Block Group 1, Census Tract 404.14, Clark County, Washington",911,461,280.44575791158724
530110404142,1.0102,"Block Group 2, Census Tract 404.14, Clark County, Washington",2519,427,2493.565630568204
530110404143,0.6498,"Block Group 3, Census Tract 404.14, Clark County, Washington",2874,530,4422.899353647275
530110404151,0.7631,"Block Group 1, Census Tract 404.15, Clark County, Washington",1505,273,1972.2185820993316
530110404152,0.6254,"Block Group 2, Census Tract 404.15, Clark County, Washington",3023,343,4833.7064278861535
530110404161,3.8778,"Block Group 1, Census Tract 404.16, Clark County, Washington",1108,231,285.72902161019135
530110404162,2.0308,"Block Group 2, Census Tract 404.16, Clark County, Washington",1296,240,638.17214890683465
530110404163,1.8305,"Block Group 3, Census Tract 404.16, Clark County, Washington",1255,271,685.6050259491942
530110405041,60.8977,"Block Group 1, Census Tract 405.04, Clark County, Washington",2432,365,39.9358268046248
530110405042,5.8346,"Block Group 2, Census Tract 405.04, Clark County, Washington",1419,248,243.2043327734549
530110405043,8.437,"Block Group 3, Census Tract 405.04, Clark County, Washington",922,246,109.28054995851606
530110405051,5.2992,"Block Group 1, Census Tract 405.05, Clark County, Washington",2317,350,437.235809178744
530110405052,5.0455,"Block Group 2, Census Tract 405.05, Clark County, Washington",2019,338,400.158557130116
530110405053,5.0555,"Block Group 3, Census Tract 405.05, Clark County, Washington",1871,335,370.0919790327366
530110405071,9.5415,"Block Group 1, Census Tract 405.07, Clark County, Washington",980,253,102.70921762825553
530110405072,0.313,"Block Group 2, Census Tract 405.07, Clark County, Washington",1198,182,3827.4760383386583
530110405081,0.7333,"Block Group 1, Census Tract 405.08, Clark County, Washington",2195,501,2993.3178780853677
530110405082,0.698,"Block Group 2, Census Tract 405.08, Clark County, Washington",2288,488,3277.9369627507167
530110405083,1.0529,"Block Group 3, Census Tract 405.08, Clark County, Washington",2486,505,2361.0979200303923
530110405091,0.3318,"Block Group 1, Census Tract 405.09, Clark County, Washington",1522,334,4587.100663050031
530110405092,0.3993,"Block Group 2, Census Tract 405.09, Clark County, Washington",1517,350,3799.1485098923117
530110405101,6.3952,"Block Group 1, Census Tract 405.10, Clark County, Washington",1545,350,241.58744058043533
530110405102,5.9239,"Block Group 2, Census Tract 405.10, Clark County, Washington",1341,298,226.37114063370416
530110405103,5.8918,"Block Group 3, Census Tract 405.10, Clark County, Washington",2506,371,425.3369089242676
530110405111,20.5756,"Block Group 1, Census Tract 405.11, Clark County, Washington",1225,262,59.53653842415287
530110405112,12.6938,"Block Group 2, Census Tract 405.11, Clark County, Washington",960,182,75.62747167908744
530110406031,3.1609,"Block Group 1, Census Tract 406.03, Clark County, Washington",1354,259,428.3590116738904
530110406032,3.9997,"Block Group 2, Census Tract 406.03, Clark County, Washington",1013,172,253.26899517463812
530110406033,10.1918,"Block Group 3, Census Tract 406.03, Clark County, Washington",1434,300,140.70134814262445
530110406034,4.1007,"Block Group 4, Census Tract 406.03, Clark County, Washington",961,199,234.35023288706807
530110406041,0.4213,"Block Group 1, Census Tract 406.04, Clark County, Washington",2160,364,5126.987894611915
530110406042,2.3368,"Block Group 2, Census Tract 406.04, Clark County, Washington",2396,341,1025.3337897980143
530110406043,5.773,"Block Group 3, Census Tract 406.04, Clark County, Washington",1254,287,217.21808418499916
530110406051,3.77,"Block Group 1, Census Tract 406.05, Clark County, Washington",1251,347,331.83023872679047
530110406052,1.7765,"Block Group 2, Census Tract 406.05, Clark County, Washington",926,338,521.2496481846327
530110406053,2.5952,"Block Group 3, Census Tract 406.05, Clark County, Washington",3781,263,1456.9204685573366
530110406081,1.8312,"Block Group 1, Census Tract 406.08, Clark County, Washington",1725,234,942.0052424639581
530110406082,1.8914,"Block Group 2, Census Tract 406.08, Clark County, Washington",2880,231,1522.6816115047056
530110406091,0.513,"Block Group 1, Census Tract 406.09, Clark County, Washington",2487,320,4847.953216374269
530110406092,0.7394,"Block Group 2, Census Tract 406.09, Clark County, Washington",2426,263,3281.03868001082
530110406101,0.8034,"Block Group 1, Census Tract 406.10, Clark County, Washington",2114,200,2631.3169031615635
530110406102,0.3487,"Block Group 2, Census Tract 406.10, Clark County, Washington",1584,194,4542.586750788643
530110407031,0.6937,"Block Group 1, Census Tract 407.03, Clark County, Washington",2292,640,3304.0219114891165
530110407032,0.5531,"Block Group 2, Census Tract 407.03, Clark County, Washington",1825,434,3299.5841619960224
530110407033,0.2013,"Block Group 3, Census Tract 407.03, Clark County, Washington",1133,511,5628.415300546448
530110407034,0.4204,"Block Group 4, Census Tract 407.03, Clark County, Washington",1124,383,2673.6441484300667
530110407061,0.4157,"Block Group 1, Census Tract 407.06, Clark County, Washington",2283,346,5491.941303824873
530110407062,0.3144,"Block Group 2, Census Tract 407.06, Clark County, Washington",1607,318,5111.323155216285
530110407071,0.2036,"Block Group 1, Census Tract 407.07, Clark County, Washington",1258,437,6178.781925343811
530110407072,0.2144,"Block Group 2, Census Tract 407.07, Clark County, Washington",1066,246,4972.014925373134
530110407073,0.2216,"Block Group 3, Census Tract 407.07, Clark County, Washington",1025,213,4625.451263537906
530110407091,1.1509,"Block Group 1, Census Tract 407.09, Clark County, Washington",3733,382,3243.5485272395517
530110407092,3.3396,"Block Group 2, Census Tract 407.09, Clark County, Washington",1275,471,381.78224937118216
530110407101,2.7018,"Block Group 1, Census Tract 407.10, Clark County, Washington",1228,325,454.51180694351916
530110407102,5.2868,"Block Group 2, Census Tract 407.10, Clark County, Washington",1023,245,193.50079443141408
530110407103,2.7738,"Block Group 3, Census Tract 407.10, Clark County, Washington",6546,657,2359.9394332684406
530110407111,0.4948,"Block Group 1, Census Tract 407.11, Clark County, Washington",1235,311,2495.957962813258
530110407112,0.2818,"Block Group 2, Census Tract 407.11, Clark County, Washington",2022,271,7175.301632363378
530110407121,0.3786,"Block Group 1, Census Tract 407.12, Clark County, Washington",1597,294,4218.172213417855
530110407122,0.1897,"Block Group 2, Census Tract 407.12, Clark County, Washington",1236,276,6515.550869794412
530110407123,0.1155,"Block Group 3, Census Tract 407.12, Clark County, Washington",1338,427,11584.415584415583
530110407124,0.4435,"Block Group 4, Census Tract 407.12, Clark County, Washington",2013,342,4538.895152198422
530110408031,0.4284,"Block Group 1, Census Tract 408.03, Clark County, Washington",1952,265,4556.489262371615
530110408032,0.4297,"Block Group 2, Census Tract 408.03, Clark County, Washington",1369,200,3185.9436816383522
530110408033,0.2769,"Block Group 3, Census Tract 408.03, Clark County, Washington",1112,289,4015.8902130733118
530110408034,0.3214,"Block Group 4, Census Tract 408.03, Clark County, Washington",796,192,2476.664592408214
530110408051,0.9795,"Block Group 1, Census Tract 408.05, Clark County, Washington",660,236,673.813169984686
530110408052,0.7174,"Block Group 2, Census Tract 408.05, Clark County, Washington",2556,509,3562.865904655701
530110408053,2.3174,"Block Group 3, Census Tract 408.05, Clark County, Washington",1127,256,486.32087684473976
530110408054,0.9257,"Block Group 4, Census Tract 408.05, Clark County, Washington",2638,484,2849.735335421843
530110408061,0.7311,"Block Group 1, Census Tract 408.06, Clark County, Washington",2030,263,2776.637942825879
530110408062,0.1863,"Block Group 2, Census Tract 408.06, Clark County, Washington",1317,262,7069.243156199678
530110408063,0.4321,"Block Group 3, Census Tract 408.06, Clark County, Washington",1401,245,3242.3050219856514
530110408081,1.4303,"Block Group 1, Census Tract 408.08, Clark County, Washington",1804,135,1261.2738586310566
530110408091,0.1237,"Block Group 1, Census Tract 408.09, Clark County, Washington",451,219,3645.91754244139
530110408092,0.1706,"Block Group 2, Census Tract 408.09, Clark County, Washington",1562,353,9155.920281359906
530110408093,0.25,"Block Group 3, Census Tract 408.09, Clark County, Washington",1699,351,6796
530110408094,0.3382,"Block Group 4, Census Tract 408.09, Clark County, Washington",2092,491,6185.68894145476
530110408101,0.3694,"Block Group 1, Census Tract 408.10, Clark County, Washington",1502,326,4066.053059014618
530110408102,0.4847,"Block Group 2, Census Tract 408.10, Clark County, Washington",1969,362,4062.3065813905505
530110409041,0.5955,"Block Group 1, Census Tract 409.04, Clark County, Washington",1328,405,2230.058774139379
530110409042,0.424,"Block Group 2, Census Tract 409.04, Clark County, Washington",1243,405,2931.603773584906
530110409043,0.2303,"Block Group 3, Census Tract 409.04, Clark County, Washington",1958,480,8501.953973078593
530110409044,0.3798,"Block Group 4, Census Tract 409.04, Clark County, Washington",2168,389,5708.267509215376
530110409051,6.0687,"Block Group 1, Census Tract 409.05, Clark County, Washington",1860,298,306.4906816945969
530110409052,4.0685,"Block Group 2, Census Tract 409.05, Clark County, Washington",1475,188,362.5414772029003
530110409071,1.2066,"Block Group 1, Census Tract 409.07, Clark County, Washington",2732,303,2264.213492458147
530110409072,0.895,"Block Group 2, Census Tract 409.07, Clark County, Washington",3320,385,3709.4972067039107
530110409081,0.5597,"Block Group 1, Census Tract 409.08, Clark County, Washington",1420,335,2537.0734321958194
530110409082,0.2228,"Block Group 2, Census Tract 409.08, Clark County, Washington",1487,338,6674.147217235189
530110409083,0.6424,"Block Group 3, Census Tract 409.08, Clark County, Washington",2713,596,4223.225404732254
530110409084,0.2681,"Block Group 4, Census Tract 409.08, Clark County, Washington",1250,369,4662.439388287952
530110409091,0.8173,"Block Group 1, Census Tract 409.09, Clark County, Washington",2485,428,3040.499204698397
530110409092,0.4819,"Block Group 2, Census Tract 409.09, Clark County, Washington",1591,347,3301.5148371031337
530110409093,0.3295,"Block Group 3, Census Tract 409.09, Clark County, Washington",1116,458,3386.9499241274657
