type,pctasian,pctblack,pcthispanic,pctwhite,pctother,pctnonwhite,total_pop,cbsa_name
overall,0.067102552373353,0.133575695875136,0.0817543654492363,0.671850977991326,0.0803029417126112,0.328149022008674,290749,Lansing
bottom 10%,0.0789436803011192,0.133381384267323,0.0612849620597834,0.678639357719182,0.0667707770236451,0.321360642280818,49947,Lansing
overall,0.147423232742424,0.0635602181536871,0.103818547722192,0.611435046437655,0.125172635529235,0.388564953562345,3262654,Seattle
bottom 10%,0.13864146312425,0.0885567491826249,0.13328204705516,0.552712219871601,0.155626379463509,0.447287780128399,545955,Seattle
overall,0.036362282139133,0.217760847821923,0.0946085420612458,0.62489732076355,0.0509629503521951,0.37510267923645,939820,Nashville
bottom 10%,0.0444666367552912,0.214252287979004,0.095098876393653,0.617259828540277,0.0562430347502641,0.382740171459723,207279,Nashville
overall,0.0615206569747547,0.352947465081527,0.0618922617049655,0.495832284888245,0.051541015872097,0.504167715111755,2142061,Baltimore
bottom 10%,0.0666845332129692,0.412594974798766,0.0754767546829158,0.416995787256451,0.0607932746558339,0.583004212743549,425376,Baltimore
