GEOID,spatialmismatch,total,english_only,english_verywell,english_well,english_notwell,english_notatall,english_better,english_worse
530610518023,0.07367531210184097,1261,0.4456780333068993,0.4210943695479778,0.023790642347343377,0.06819984139571768,0.041237113402061855,0.8905630452022204,0.10943695479777954
530530634006,0.03991946578025818,856,0.7149532710280374,0.102803738317757,0.0969626168224299,0.05023364485981308,0.035046728971962614,0.9147196261682243,0.0852803738317757
530330219042,0.03171169012784958,731,0.6894664842681258,0.18741450068399454,0.0560875512995896,0.038303693570451436,0.028727770177838577,0.93296853625171,0.06703146374829001
530330219044,0.04139596223831177,1115,0.6565022421524663,0.19013452914798207,0.0968609865470852,0.05650224215246637,0,0.9434977578475336,0.05650224215246637
530330219051,0.03850869834423065,1569,0.787125557680051,0.1701720841300191,0.042702358189929894,0,0,1,0
530330219052,0.04457366093993187,995,0.8361809045226131,0.08844221105527639,0.009045226130653266,0.06633165829145729,0,0.9336683417085427,0.06633165829145729
530330220032,0.06276538223028183,1133,0.8799646954986761,0.11120917917034422,0.0088261253309797,0,0,1,0
530330220033,0.04051627963781357,925,0.787027027027027,0.1535135135135135,0.04756756756756757,0.011891891891891892,0,0.9881081081081081,0.011891891891891892
530330219061,0.07366514950990677,1870,0.6951871657754011,0.20427807486631017,0.08449197860962566,0.01229946524064171,0.0037433155080213902,0.983957219251337,0.016042780748663103
530330219063,0.05265623703598976,1611,0.37368094351334574,0.5543140906269398,0.05648665425201738,0.015518311607697082,0,0.9844816883923029,0.015518311607697082
530330220011,0.02412897534668445,1061,0.943449575871819,0.036757775683317624,0.00942507068803016,0.010367577756833177,0,0.9896324222431668,0.010367577756833177
530330219062,0.03400516882538795,831,0.779783393501805,0.19614921780986763,0.024067388688327317,0,0,1,0
530330220061,0.06025571748614311,1249,0.8526821457165733,0.07766212970376302,0.041633306645316254,0.017614091273018415,0.010408326661329063,0.9719775820656525,0.02802241793434748
530330220053,0.07095079869031906,1455,0.5876288659793815,0.3154639175257732,0.032989690721649485,0.06391752577319587,0,0.9360824742268041,0.06391752577319587
530330220052,0.06015215441584587,968,0.6570247933884298,0.259297520661157,0.014462809917355372,0.06921487603305786,0,0.9307851239669421,0.06921487603305786
530330220034,0.03213299065828323,949,0.80927291886196,0.15489989462592202,0.029504741833508957,0.006322444678609062,0,0.9936775553213909,0.006322444678609062
530330310002,0.09491927921772005,1487,0.7572293207800942,0.18560860793544048,0.03765971755211836,0.019502353732347006,0,0.980497646267653,0.019502353732347006
530330078002,0.0465436577796936,2033,0.9291687161829808,0.07083128381701918,0,0,0,1,0
530330078003,0.03312023729085922,1130,0.9415929203539823,0.04601769911504425,0,0.012389380530973451,0,0.9876106194690265,0.012389380530973451
530330220062,0.0469672717154026,1166,0.7898799313893653,0.19382504288164665,0.016295025728987993,0,0,1,0
530530607003,0.06718305498361588,1297,0.9791827293754819,0.02081727062451812,0,0,0,1,0
530530616021,0.06611747294664383,792,0.7866161616161617,0.12247474747474747,0.05176767676767677,0.007575757575757576,0.03156565656565657,0.9608585858585859,0.039141414141414144
530530617001,0.08643583953380585,1180,0.8228813559322034,0.13644067796610168,0.017796610169491526,0.02288135593220339,0,0.9771186440677966,0.02288135593220339
