GEOID,spatialmismatch,spanish,median_household_income,below_bach,above_bach,bach_interact,phd,white,nonwhite,people_per_sqmi,english_better
530610518023,0.07367531210184097,0.08009516256938938,52500,0.5828571428571429,0.37485714285714283,0.2184881632653061,0.018285714285714287,0.36661807580174927,0.6333819241982507,1923.9938297573976,0.8905630452022204
530530634006,0.03991946578025818,0.026869158878504672,56000,0.8183391003460208,0.15570934256055363,0.12742304330647383,0,0.7197860962566844,0.2802139037433155,7583.130575831306,0.9147196261682244
530330219042,0.03171169012784958,0.046511627906976744,123542,0.35772357723577236,0.6292682926829268,0.22510410469958358,0.014634146341463415,0.6373626373626373,0.36263736263736257,5775.74047954866,0.93296853625171
530330219044,0.04139596223831177,0.05022421524663677,134940,0.4326923076923077,0.5588942307692307,0.2418292344674556,0.04326923076923077,0.4911986588432523,0.5088013411567476,9691.307879772545,0.9434977578475336
530330219051,0.03850869834423065,0.033779477374123644,98646,0.4827586206896552,0.5172413793103449,0.24970273483947683,0.022988505747126436,0.7593712212817413,0.24062877871825877,5701.482247500861,1
530330219052,0.04457366093993187,0,86250,0.5144175317185697,0.4717416378316032,0.24267216894220878,0.010380622837370242,0.7838899803536346,0.21611001964636542,3790.022338049144,0.9336683417085428
530330220032,0.06276538223028183,0.01412180052956752,120987,0.43121387283236995,0.545664739884393,0.23529820575361687,0.04161849710982659,0.6148023549201009,0.38519764507989906,5989.92443324937,1
530330220033,0.04051627963781357,0.08648648648648649,120000,0.3337515683814304,0.657465495608532,0.21943014031602198,0.02132998745294856,0.7150368033648791,0.28496319663512093,6495.901639344263,0.988108108108108
530330219061,0.07366514950990677,0.03636363636363636,131406,0.35963687150837986,0.6138268156424581,0.22075475562560468,0.027932960893854747,0.6506572295247725,0.34934277047522744,1873.1060606060605,0.983957219251337
530330219063,0.05265623703598976,0.2116697703289882,59750,0.5818373812038015,0.3885955649419219,0.2260994258532196,0,0.6410404624277457,0.3589595375722543,14321.192052980132,0.9844816883923028
530330220011,0.02412897534668445,0,125931,0.43943298969072164,0.5399484536082474,0.23727116324795408,0.020618556701030927,0.870995670995671,0.129004329004329,5147.058823529412,0.9896324222431668
530330219062,0.03400516882538795,0.01444043321299639,110125,0.34714285714285714,0.6528571428571428,0.226634693877551,0.025714285714285714,0.8146453089244852,0.18535469107551486,2946.7296021577886,1
530330220061,0.06025571748614311,0,76445,0.416,0.584,0.24294399999999997,0.008,0.9000768639508071,0.09992313604919292,4317.955526053767,0.9719775820656524
530330220053,0.07095079869031906,0.06391752577319587,80470,0.34440559440559443,0.6555944055944056,0.22579038094772363,0.017482517482517484,0.662111801242236,0.337888198757764,6761.864762704746,0.936082474226804
530330220052,0.06015215441584587,0,100313,0.2358974358974359,0.7256410256410256,0.17117685733070348,0.05128205128205128,0.626991565135895,0.37300843486410495,2602.439024390244,0.930785123966942
530330220034,0.03213299065828323,0.1285563751317176,126734,0.45415472779369626,0.5315186246418339,0.24139169629149188,0.0329512893982808,0.7112195121951219,0.28878048780487803,8374.183006535948,0.9936775553213908
530330310002,0.09491927921772005,0.020174848688634835,101667,0.4838112858464385,0.4782608695652174,0.23138800627438363,0.008325624421831638,0.6550190597204575,0.3449809402795426,3124.2556570067486,0.980497646267653
530330078002,0.0465436577796936,0.008853910477127398,220952,0.16371971185330714,0.8362802881466929,0.1369155678039772,0.056319580877537655,0.7908212560386474,0.20917874396135266,10952.380952380952,1
530330078003,0.03312023729085922,0.012389380530973451,NA,0.2713963963963964,0.7286036036036037,0.1977403924194465,0.02252252252252252,0.6876595744680851,0.31234042553191493,9742.951907131011,0.9876106194690264
530330220062,0.0469672717154026,0.08576329331046312,151333,0.24561403508771928,0.7234262125902993,0.17768363116252964,0.04643962848297214,0.9178885630498533,0.08211143695014662,8104.575163398693,1
530530607003,0.06718305498361588,0.02081727062451812,69429,0.3876889848812095,0.6123110151187905,0.23738623588298682,0.04859611231101512,0.9045584045584045,0.09544159544159544,12380.952380952382,1
530530616021,0.06611747294664383,0.09343434343434344,61964,0.5699248120300752,0.3669172932330827,0.20911526937644861,0.013533834586466165,0.6691449814126395,0.33085501858736055,1976.9720725134737,0.960858585858586
530530617001,0.08643583953380585,0.0211864406779661,53257,0.4684898929845422,0.5136741973840666,0.24065116976138196,0.015457788347205707,0.411544227886057,0.5884557721139431,6869.2070030895975,0.9771186440677966
530530617005,0.06246520578861236,0.025365853658536587,65329,0.6580976863753213,0.24293059125964012,0.159872060057758,0,0.57636887608069165,0.4236311239193083,2267.479851884121,0.9853658536585366
530530618001,0.05938075482845306,0,66080,0.6519410977242303,0.2637215528781794,0.1719309186769389,0,0.4757990867579909,0.5242009132420091,5095.393206142392,0.9759036144578314
530530618002,0.04289315640926361,0.0196078431372549,48462,0.7077534791252486,0.2524850894632207,0.17869720049484408,0,0.6455882352941177,0.35441176470588237,6367.041198501873,0.9879336349924586
530530618003,0.04271678999066353,0.022199798183652877,73750,0.8159879336349924,0.13423831070889894,0.10953684177000653,0.013574660633484163,0.6810344827586207,0.31896551724137934,4915.254237288135,0.9838546922300706
530530619001,0.04656827449798584,0.011378002528445006,NA,0.6285714285714286,0.37142857142857144,0.23346938775510204,0,0.7339003645200486,0.26609963547995136,4835.487661574618,0.945638432364096
530530619002,0.06386678665876389,0.13827433628318583,49936,0.720108695652174,0.17798913043478262,0.12817152055765596,0.016304347826086956,0.6786447638603696,0.32135523613963046,4210.981409424989,0.995575221238938
